Gene stable ID,NCBI gene (formerly Entrezgene) ID,HGNC symbol
ENSG00000138073,10113,PREB
ENSG00000110422,10114,HIPK3
ENSG00000115073,10120,ACTR1B
ENSG00000138107,10121,ACTR1A
ENSG00000172575,10125,RASGRP1
ENSG00000100246,10126,DNAL4
ENSG00000129910,1013,CDH15
ENSG00000143870,10130,PDIA6
ENSG00000126602,10131,TRAP1
ENSG00000123240,10133,OPTN
ENSG00000185825,10134,BCAP31
ENSG00000105835,10135,NAMPT
ENSG00000142789,10136,CELA3A
ENSG00000141232,10140,TOB1
ENSG00000286172,101447996,RNVU1-8
ENSG00000105246,10148,EBI3
ENSG00000079112,1015,CDH17
ENSG00000138443,10152,ABI2
ENSG00000136040,10154,PLXNC1
ENSG00000105808,10156,RASA4
ENSG00000170667,10156,RASA4B
ENSG00000008311,10157,AASS
ENSG00000182220,10159,ATP6AP2
ENSG00000139679,10161,LPAR6
ENSG00000111684,10162,LPCAT3
ENSG00000158195,10163,WASF2
ENSG00000140835,10164,CHST4
ENSG00000123374,1017,CDK2
ENSG00000073737,10170,DHRS9
ENSG00000120158,10171,RCL1
ENSG00000152454,10172,ZNF256
ENSG00000183684,10189,ALYREF
ENSG00000135446,1019,CDK4
ENSG00000181852,10193,RNF41
ENSG00000214160,10195,ALG3
ENSG00000277610,101954264,RNVU1-4
ENSG00000207501,101954266,RNVU1-14
ENSG00000207205,101954267,RNVU1-15
ENSG00000277610,101954268,RNVU1-4
ENSG00000207349,101954269,RNVU1-17
ENSG00000207507,101954271,RNU6-9
ENSG00000201183,101954272,RNVU1-3
ENSG00000207340,101954273,RNVU1-1
ENSG00000201654,101954275,RNU6-7
ENSG00000201558,101954276,RNVU1-6
ENSG00000275538,101954277,RNVU1-19
ENSG00000202337,101954278,RNU6-8
ENSG00000131467,10197,PSME3
ENSG00000124383,10199,MPHOSPH10
ENSG00000137845,102,ADAM10
ENSG00000164885,1020,CDK5
ENSG00000135698,10200,MPHOSPH6
ENSG00000172113,10201,NME6
ENSG00000064989,10203,CALCRL
ENSG00000132849,10207,PATJ
ENSG00000105810,1021,CDK6
ENSG00000223654,10211,FLOT1
ENSG00000206480,10211,FLOT1
